Product ID,Product Name,Product Description,Quantity type,SKU,Quantity,Product Cost (in rupees),Sell Price (in rupees),Date,Quantity Sold,Product Sold at
1,Laptop,A portable computer,None,LPT001,10,8000,10000,01/01/21,9,90000
2,Smartphone,A handheld device,None,SPH001,15,6000,8000,01/02/21,11,88000
3,Headphones,Audio output devices,Dozen,HDP001,20,1000,1500,01/03/21,15,22500
4,T-Shirt,A casual clothing item,None,TSH001,30,600,800,01/04/21,21,16800
5,Jeans,A type of pants,None,JNS001,25,1000,1200,01/05/21,3,3600
6,Apples,Fruit,None,APL001,40,200,300,01/06/21,34,10200
7,Oranges,Fruit,None,ORG001,35,150,250,01/07/21,25,6250
8,TV,Television set,None,TV001,12,12000,15000,01/08/21,4,60000
9,Shoes,Footwear,None,SHS001,18,1000,1500,01/09/21,4,6000
10,Backpack,A bag carried on the back,None,BKP001,22,600,800,01/10/21,14,11200
11,Keyboard,A typing device,None,KBD001,8,1000,1200,01/11/21,5,6000
12,Mouse,A pointing device,None,MS001,12,300,500,01/12/21,4,2000
13,Printer,A printing device,None,PRT001,5,1500,2000,01/13/21,3,6000
14,Desk Lamp,A lighting fixture,None,DLP001,15,600,800,01/14/21,2,1600
15,Coffee Maker,A machine to brew coffee,None,CFM001,10,4000,5000,01/15/21,5,25000
16,Toaster,A kitchen appliance,None,TST001,20,800,1000,01/16/21,1,1000
17,Blender,A kitchen appliance,None,BLD001,18,1000,1200,01/17/21,14,16800
18,Jacket,A clothing item for upper body,None,JKT001,20,700,900,01/18/21,2,1800
19,Dress,A clothing item for women,None,DRS001,15,1200,1500,01/19/21,7,10500
20,Watch,A timekeeping device,None,WCH001,10,2000,2500,01/20/21,1,2500
21,Sunglasses,Eyewear,None,SG001,12,1000,1200,01/21/21,11,13200
22,Baseball Cap,A type of cap,None,BC001,25,400,600,01/22/21,18,10800
23,Chocolate,A sweet food item,None,CHC001,30,50,100,01/23/21,17,1700
24,Cereal,A breakfast food,None,CRL001,20,80,120,01/24/21,5,600
25,Soft Drinks,Beverages,None,SD001,35,50,80,01/25/21,24,1920
26,Office Chair,A seating furniture,None,OC001,8,3000,3500,01/26/21,3,10500
27,Sofa,A seating furniture,None,SFA001,5,10000,12000,01/27/21,1,12000
28,Dining Table,A furniture for dining,None,DT001,12,6000,8000,01/28/21,4,32000
29,Bed,A furniture for sleeping,None,BD001,3,24000,28000,01/29/21,2,56000
30,Rug,A floor covering,None,RG001,10,2000,2500,01/30/21,4,10000
31,Wall Clock,A timekeeping device,None,WC001,15,800,1000,01/31/21,11,11000
32,Vase,A decorative item,None,VS001,8,600,800,02/01/21,2,1600
33,Curtains,A window covering,None,CRT001,20,500,700,02/02/21,3,2100
34,Bathroom Scale,A device for measuring weight,None,BS001,5,1000,1200,02/03/21,2,2400
35,Trash Can,A waste container,None,TC001,8,300,500,02/04/21,6,3000
36,Desk Organizer,An item for organizing desk,None,DO001,12,200,300,02/05/21,9,2700
37,Notebook,A stationery item,None,NB001,15,50,100,02/06/21,9,900
38,Pen Set,A set of pens,None,PS001,20,100,150,02/07/21,2,300
39,Stapler,A tool for binding papers,None,STP001,10,80,120,02/08/21,1,120
40,Whiteboard,A writing surface,None,WB001,5,1500,1800,02/09/21,4,7200
41,Smart Watch,A wearable device,None,SW001,18,2000,2500,02/10/21,2,5000
42,Tablet,A handheld computing device,None,TBLT001,10,3000,3500,02/11/21,2,7000
43,Charging Cable,A cable for charging devices,None,CC001,25,200,300,02/12/21,24,7200
44,External Hard Drive,A storage device,None,EHD001,12,1000,1500,02/13/21,2,3000
45,Memory Card,A data storage device,None,MC001,20,300,500,02/14/21,6,3000
46,Bluetooth Speaker,A wireless audio device,None,BS001,15,1000,1500,02/15/21,1,1500
47,Travel Adapter,A device for adapting plugs,None,TA001,8,200,300,02/16/21,3,900
48,Travel Pillow,A pillow for traveling,None,TP001,10,300,400,02/17/21,7,2800
49,Travel Backpack,A backpack for traveling,None,TBP001,5,1000,1500,02/18/21,3,4500
50,Suitcase,A luggage for traveling,None,STC001,12,2000,2500,02/19/21,3,7500
51,Tennis Shoes,Footwear,None,TNS001,18,1200,1500,02/20/21,1,1500
